07-07 10:19 fdr_control  DEBUG    thresh 0.1119 | est fdr 9.8333 | true fdr 0.0833 | true power 0.0688
07-07 10:19 fdr_control  DEBUG    thresh 0.1114 | est fdr 9.9167 | true fdr 0.0833 | true power 0.0688
07-07 10:19 fdr_control  DEBUG    thresh 0.1114 | est fdr 10.0000 | true fdr 0.0833 | true power 0.0688
07-07 10:19 fdr_control  DEBUG    thresh 0.1105 | est fdr 10.0833 | true fdr 0.0833 | true power 0.0688
07-07 10:19 fdr_control  DEBUG    thresh 0.1105 | est fdr 10.1667 | true fdr 0.0833 | true power 0.0688
07-07 10:19 fdr_control  DEBUG    thresh 0.1104 | est fdr 10.2500 | true fdr 0.0833 | true power 0.0688
07-07 10:19 fdr_control  DEBUG    thresh 0.1101 | est fdr 10.3333 | true fdr 0.0833 | true power 0.0688
07-07 10:19 fdr_control  DEBUG    thresh 0.1093 | est fdr 9.5385 | true fdr 0.0769 | true power 0.0750
07-07 10:19 fdr_control  DEBUG    thresh 0.1081 | est fdr 9.6154 | true fdr 0.0769 | true power 0.0750
07-07 10:19 fdr_control  DEBUG    thresh 0.1078 | est fdr 9.6923 | true fdr 0.0769 | true power 0.0750
07-07 10:19 fdr_control  DEBUG    thresh 0.1075 | est fdr 9.0000 | true fdr 0.0714 | true power 0.0813
07-07 10:19 fdr_control  DEBUG    thresh 0.1070 | est fdr 9.0714 | true fdr 0.0714 | true power 0.0813
07-07 10:19 fdr_control  DEBUG    thresh 0.1069 | est fdr 9.1429 | true fdr 0.0714 | true power 0.0813
07-07 10:19 fdr_control  DEBUG    thresh 0.1058 | est fdr 9.2143 | true fdr 0.0714 | true power 0.0813
07-07 10:19 fdr_control  DEBUG    thresh 0.1040 | est fdr 8.6000 | true fdr 0.0667 | true power 0.0875
07-07 10:19 fdr_control  DEBUG    thresh 0.1038 | est fdr 8.0625 | true fdr 0.0625 | true power 0.0938
07-07 10:19 fdr_control  DEBUG    thresh 0.1035 | est fdr 8.1250 | true fdr 0.0625 | true power 0.0938
07-07 10:19 fdr_control  DEBUG    thresh 0.1029 | est fdr 8.1875 | true fdr 0.0625 | true power 0.0938
07-07 10:19 fdr_control  DEBUG    thresh 0.1029 | est fdr 8.2500 | true fdr 0.0625 | true power 0.0938
07-07 10:19 fdr_control  DEBUG    thresh 0.1024 | est fdr 8.3125 | true fdr 0.0625 | true power 0.0938
07-07 10:19 fdr_control  DEBUG    thresh 0.1021 | est fdr 8.3750 | true fdr 0.0625 | true power 0.0938
07-07 10:19 fdr_control  DEBUG    thresh 0.1018 | est fdr 8.4375 | true fdr 0.0625 | true power 0.0938
07-07 10:19 fdr_control  DEBUG    thresh 0.1011 | est fdr 8.5000 | true fdr 0.0625 | true power 0.0938
07-07 10:19 fdr_control  DEBUG    thresh 0.1010 | est fdr 8.5625 | true fdr 0.0625 | true power 0.0938
07-07 10:19 fdr_control  DEBUG    thresh 0.1008 | est fdr 8.0588 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.1008 | est fdr 8.1176 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.1004 | est fdr 8.1765 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0991 | est fdr 8.2353 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0990 | est fdr 8.2941 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0985 | est fdr 8.3529 | true fdr 0.0588 | true power 0.1000
07-07 10:19 fdr_control  DEBUG    thresh 0.0982 | est fdr 8.4118 | true fdr 0.0588 | true power 0.1000
