06-28 07:41 __main__     INFO     configs
06-28 07:41 __main__     INFO     {'abs_selection': False,
 'abs_t_list': True,
 'control_type': 'type_3_global',
 'd': 40,
 'dag_control': 'None',
 'dagma_type': 'dagma_1',
 'device': 'cuda:7',
 'est_type': 'tau+',
 'fdr': 0.2,
 'graph_type': 'ER',
 'log_file': 'log_30/log_40',
 'n': 2000,
 'numeric': False,
 'numeric_precision': '1e-1',
 'root_path': 'simulated_data/v11',
 's0': 160,
 'seed_X': 1,
 'seed_knockoff_list': [1,
                        2,
                        3,
                        4,
                        5,
                        6,
                        7,
                        8,
                        9,
                        10],
 'seed_model_list': [0],
 'sem_type': 'gauss',
 'version': 40}

06-28 07:41 utils        DEBUG    load X with seed 1 in simulated_data/v11/v40/X
06-28 07:41 __main__     INFO     knockoff: 1 | model: 0
06-28 07:41 utils        DEBUG    load W with seed 1_0 in simulated_data/v11/v40/W
06-28 07:41 fdr_control  INFO     ==============================
06-28 07:41 fdr_control  INFO     expected FDR 0.2
06-28 07:41 fdr_control  DEBUG    thresh 0.6794 | est fdr 0.0076 | true fdr 0.0000 | true power 0.8250
06-28 07:41 fdr_control  DEBUG    thresh 0.6719 | est fdr 0.0075 | true fdr 0.0000 | true power 0.8313
06-28 07:41 fdr_control  DEBUG    thresh 0.6701 | est fdr 0.0075 | true fdr 0.0000 | true power 0.8375
06-28 07:41 fdr_control  DEBUG    thresh 0.6506 | est fdr 0.0074 | true fdr 0.0000 | true power 0.8438
06-28 07:41 fdr_control  DEBUG    thresh 0.6291 | est fdr 0.0074 | true fdr 0.0000 | true power 0.8500
06-28 07:41 fdr_control  DEBUG    thresh 0.6277 | est fdr 0.0073 | true fdr 0.0000 | true power 0.8562
06-28 07:41 fdr_control  DEBUG    thresh 0.6065 | est fdr 0.0072 | true fdr 0.0000 | true power 0.8625
06-28 07:41 fdr_control  DEBUG    thresh 0.5957 | est fdr 0.0072 | true fdr 0.0000 | true power 0.8688
06-28 07:41 fdr_control  DEBUG    thresh 0.5932 | est fdr 0.0071 | true fdr 0.0000 | true power 0.8750
06-28 07:41 fdr_control  DEBUG    thresh 0.5911 | est fdr 0.0071 | true fdr 0.0000 | true power 0.8812
06-28 07:41 fdr_control  DEBUG    thresh 0.5902 | est fdr 0.0070 | true fdr 0.0000 | true power 0.8875
06-28 07:41 fdr_control  DEBUG    thresh 0.5897 | est fdr 0.0070 | true fdr 0.0000 | true power 0.8938
06-28 07:41 fdr_control  DEBUG    thresh 0.5813 | est fdr 0.0069 | true fdr 0.0000 | true power 0.9000
06-28 07:41 fdr_control  DEBUG    thresh 0.5646 | est fdr 0.0069 | true fdr 0.0000 | true power 0.9062
06-28 07:41 fdr_control  DEBUG    thresh 0.5565 | est fdr 0.0068 | true fdr 0.0000 | true power 0.9125
06-28 07:41 fdr_control  DEBUG    thresh 0.5490 | est fdr 0.0068 | true fdr 0.0000 | true power 0.9187
06-28 07:41 fdr_control  DEBUG    thresh 0.5327 | est fdr 0.0068 | true fdr 0.0000 | true power 0.9250
06-28 07:41 fdr_control  DEBUG    thresh 0.5233 | est fdr 0.0067 | true fdr 0.0000 | true power 0.9313
06-28 07:41 fdr_control  DEBUG    thresh 0.5108 | est fdr 0.0067 | true fdr 0.0000 | true power 0.9375
06-28 07:41 fdr_control  DEBUG    thresh 0.4965 | est fdr 0.0066 | true fdr 0.0000 | true power 0.9437
06-28 07:41 fdr_control  DEBUG    thresh 0.4878 | est fdr 0.0066 | true fdr 0.0000 | true power 0.9500
06-28 07:41 fdr_control  DEBUG    thresh 0.4851 | est fdr 0.0065 | true fdr 0.0000 | true power 0.9563
06-28 07:41 fdr_control  DEBUG    thresh 0.4381 | est fdr 0.0065 | true fdr 0.0000 | true power 0.9625
06-28 07:41 fdr_control  DEBUG    thresh 0.4159 | est fdr 0.0065 | true fdr 0.0000 | true power 0.9688
06-28 07:41 fdr_control  DEBUG    thresh 0.4131 | est fdr 0.0064 | true fdr 0.0000 | true power 0.9750
06-28 07:41 fdr_control  DEBUG    thresh 0.4083 | est fdr 0.0064 | true fdr 0.0000 | true power 0.9812
06-28 07:41 fdr_control  DEBUG    thresh 0.3958 | est fdr 0.0063 | true fdr 0.0000 | true power 0.9875
06-28 07:41 fdr_control  DEBUG    thresh 0.3672 | est fdr 0.0063 | true fdr 0.0000 | true power 0.9938
06-28 07:41 fdr_control  DEBUG    thresh 0.3230 | est fdr 0.0063 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.2478 | est fdr 0.0125 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.2225 | est fdr 0.0187 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.2206 | est fdr 0.0250 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.2137 | est fdr 0.0312 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.2133 | est fdr 0.0375 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.2105 | est fdr 0.0437 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.2023 | est fdr 0.0500 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1992 | est fdr 0.0563 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1934 | est fdr 0.0625 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1904 | est fdr 0.0688 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1876 | est fdr 0.0750 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1857 | est fdr 0.0813 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1795 | est fdr 0.0875 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1728 | est fdr 0.0938 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1579 | est fdr 0.1000 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1498 | est fdr 0.1062 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1494 | est fdr 0.1125 | true fdr 0.0000 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1491 | est fdr 0.1118 | true fdr 0.0062 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1457 | est fdr 0.1180 | true fdr 0.0062 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1396 | est fdr 0.1242 | true fdr 0.0062 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1372 | est fdr 0.1304 | true fdr 0.0062 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1313 | est fdr 0.1366 | true fdr 0.0062 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1306 | est fdr 0.1429 | true fdr 0.0062 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1259 | est fdr 0.1491 | true fdr 0.0062 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1242 | est fdr 0.1553 | true fdr 0.0062 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1144 | est fdr 0.1543 | true fdr 0.0123 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1136 | est fdr 0.1534 | true fdr 0.0184 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1128 | est fdr 0.1524 | true fdr 0.0244 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1045 | est fdr 0.1585 | true fdr 0.0244 | true power 1.0000
06-28 07:41 fdr_control  DEBUG    thresh 0.1041 | est fdr 0.1646 | true fdr 0.0244 | true power 1.0000
